Comments,neg,neu,pos
These people are true fascists. We need to dismantle this apartheid atrocity.,0.96554327,0.03191561,0.002541097
"They are not soldiers, they are EXTREMIST and EVILDOERS ",0.91645396,0.07694943,0.0065966207
"All dogs have their eyes on the $500 billion worth of gas, and everyone is eager for their share.",0.013234762,0.21766303,0.76910216
Pray for palestine ,0.09270069,0.7197349,0.18756443
Palestine must be freed,0.34606868,0.5897957,0.06413565
Bullshit. Completely fake.,0.96577984,0.03017212,0.004048091
"Not Israeli soldiers, not wearing standard or specialized issued IDF boots, Guess you forgot that little detail while producing the video.",0.76983327,0.21674263,0.013424107
Busted!! #Pallywood Take number #47373  IDF soldiers with sport shoes and AliExpress vest ,0.5765809,0.3894421,0.033976983
Free Palestine,0.19413191,0.6677982,0.13806987
"A country that asserts its power is waging war against women, children and common citizens, the rules of war are being broken every day, and the world is silent even as the world watches, humanity is collapsing in the world. STOP THE GENOCIDE
#FreePalestine #FreeGazaNow",0.95293504,0.0440134,0.0030515648
"It's important for Americans to pay attention to events like this one - not just in Israel and the West Bank, but around the world. Foreign policy and international affairs can have a big impact on American lives and our economy, whether it's through trade, immigration, nationalâ¦",0.1473026,0.6455318,0.20716555
IDF Soldiers laughing About Murdering the people of Gaza. *All the Detergent in the World cant make you Clean!*,0.919637,0.073802754,0.0065601817
Itâs kinda like this video:,0.051188346,0.80753064,0.14128105
 An eye for an eye makes both sides blind. This will never end.,0.83676714,0.15037048,0.012862434
The Hindutva gang members in India using Diwali festival crackers video of Delhi to equate and celebrate like that of Israel bombing of Gaza. twitter.com/SudarshanNewsTâ¦,0.59282875,0.37774393,0.029427337
Donât care,0.503393,0.4444654,0.052141592
Liars.,0.90633726,0.08086017,0.012802507
"Hamas brutally beat Gaza civilians who were tired of getting food from humanitarian aid trucks.  Hamas took the goods for itself.  This is a strong attack on humanity, kindness and charity, which I strongly condemn.

Via- kann_news",0.9573559,0.039729178,0.0029148404
I seriously donât know how anyone can defend these people..,0.95878613,0.03715217,0.004061609
They don't even care that they are being filmed,0.73628443,0.25091,0.012805606
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",0.45774835,0.4639939,0.078257725
This is textbook terrorism,0.9565898,0.040451,0.0029592027
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,0.96777946,0.029406179,0.0028142643
So twisted and sickening,0.96383494,0.03305043,0.0031146235
"Serious, how are they not considered a terrorist state and organization at this point?",0.68515277,0.30620253,0.008644708
"Honestly, looks a lot like US policing.",0.6161981,0.36423832,0.019563569
This is Nazi Germany written all over it.,0.92742425,0.06761876,0.00495696
choosen people by shaytan,0.08249267,0.8672797,0.050227556
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",0.42131457,0.5250092,0.053676262
War criminal isrheil!,0.8526858,0.13576029,0.011553958
Zionists,0.5543936,0.42472664,0.02087976
The real terorist,0.2119967,0.7252946,0.06270867
#IsraelTerorrist,0.6063733,0.37358758,0.020039076
Did occupiers give the children two bottle of water for propaganda?,0.65493596,0.33414957,0.010914423
How are the israelis are the âchosen peopleâ again?,0.60819817,0.37578934,0.016012497
"I am glad I could never get used to this. When I was younger I got desensitized with violence, but people can attain humanity if they work for it. We should never let go of our humanity and never forget.",0.54213184,0.36125287,0.096615314
True evil on the loose,0.8546131,0.13720328,0.008183643
Why canât the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,0.541795,0.38049442,0.07771058
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",0.71058303,0.25009283,0.039324105
"Hello any Human there.....,,,,,,,,,,,,,,
Savages ,,,,,,,,,,,,,,
I am glad I could never get used to this. When I was younger I got desensitized with violence",0.91878366,0.072178476,0.009037938
Savages,0.35338554,0.5568418,0.08977259
Chosen people ,0.07847604,0.6633213,0.25820267
Butchers,0.21142145,0.6296826,0.15889592
From the river to the sea Palestine will be free! ,0.014552727,0.2620278,0.7234195
"God is Sufficient for us, and He is the Best Trustee, the Best Helper, the Best Master, and the Best to rely upon. Khaybar, Khaybar, O Jews, the army of Muhammad will return, Allah is the Greatest, Allah is the Greatest, Allah is the Greatest.",0.0039270334,0.11831069,0.87776226
And people are still asking why Al Aqsa Flood happened.,0.6770545,0.315642,0.0073034875
Oh my god,0.48607272,0.36794844,0.14597887
Restore the State of Palestine!,0.11398164,0.66064066,0.22537774
Boycott Netflix,0.8375598,0.15241463,0.010025535
Former US marineâs pro-Palestine interview resurfaces online,0.3791405,0.5874431,0.033416424
barbarians,0.24484217,0.6559276,0.09923027
If none of you know this is how hamas was created,0.22260363,0.7408993,0.036497027
Is that soldier wearing sneakers?,0.14489621,0.8216857,0.033418074
#IsraelTerrorism,0.761682,0.22341223,0.01490574
Another proof,0.20864709,0.6411896,0.15016334
Once again we will repeat it never enough without their weapons they are nothing we saw it well in 1942,0.8225446,0.16544573,0.012009667
This is what happens to the Palestinians that are supposedly Free,0.73752767,0.25404182,0.008430488
In front of his children ,0.43947065,0.52665824,0.03387112
The IDF is a terrorist organization! That is all,0.95741284,0.039508548,0.003078608
"The fact that hours before they made palestinians pose with bottle waters and said ""we're not scum"" (which btw they're the ones depriving them of every basic need). At least wait some days or something.",0.6565659,0.31790173,0.025532477
US standards of civilization,0.3469349,0.61916184,0.033903204
"This is why the Palestinians in the West Bank must be armed. Instead of arming the people, the so-called âPalestinianâ Authority does israelâs work for them.",0.7402972,0.24727681,0.012425957
I hate Israel the Nazi regime.,0.9737496,0.02342947,0.0028210334
"Terrorists have often had young children participate in using explosives and weapons.  They are trained in #Hamas ""summer camps"" to do just that.  It's a sad reality.",0.9196118,0.07623466,0.0041535106
"Hebron is not occupied, it's under PA.
Israel has 'security responsibility' to arrest people that threat to its country, and cause a risk in engaging terror.

I pity his daugther to have witness it, because her father chose to be a criminal.",0.8885491,0.105139546,0.0063112928
Well done on the space Truth. Appreciate you,0.002009346,0.025173541,0.9728171
Thanks!! I appreciate you coming on.,0.001178629,0.014147041,0.98467433
Great news,0.003989745,0.0359409,0.96006936
But hamas made me do it,0.10467071,0.7691028,0.12622651
Toddler among US hostages in Gaza â White House,0.45359,0.5358768,0.010533178
The White House says that a three-year-old American whose parents were killed by Hamas is among the hostages in Gaza.,0.69886655,0.2963125,0.004820866
President Joe Biden raised  the issue of hostages including a toddler,0.114383146,0.7867348,0.09888209
i hope he won't get a heartattack or car-/swimmingaccident in the next time,0.390071,0.55107874,0.058850255
