Comments,neg,neu,pos
These people are true fascists. We need to dismantle this apartheid atrocity.,0.96554327,0.031915653,0.002541102
"They are not soldiers, they are EXTREMIST and EVILDOERS ",0.91645384,0.07694959,0.0065966332
"All dogs have their eyes on the $500 billion worth of gas, and everyone is eager for their share.",0.013234807,0.2176634,0.7691018
Pray for palestine ,0.09270052,0.7197349,0.18756458
Palestine must be freed,0.34606907,0.5897954,0.06413556
Bullshit. Completely fake.,0.96577984,0.030172108,0.004048087
"Not Israeli soldiers, not wearing standard or specialized issued IDF boots, Guess you forgot that little detail while producing the video.",0.7698337,0.2167423,0.013424064
Busted!! #Pallywood Take number #47373  IDF soldiers with sport shoes and AliExpress vest ,0.5765813,0.38944182,0.03397688
Free Palestine,0.1941321,0.66779816,0.1380698
"A country that asserts its power is waging war against women, children and common citizens, the rules of war are being broken every day, and the world is silent even as the world watches, humanity is collapsing in the world. STOP THE GENOCIDE
#FreePalestine #FreeGazaNow",0.95293504,0.044013415,0.0030515622
"It's important for Americans to pay attention to events like this one - not just in Israel and the West Bank, but around the world. Foreign policy and international affairs can have a big impact on American lives and our economy, whether it's through trade, immigration, nationalâ¦",0.14730255,0.64553195,0.20716548
IDF Soldiers laughing About Murdering the people of Gaza. *All the Detergent in the World cant make you Clean!*,0.91963714,0.07380268,0.0065601673
Itâs kinda like this video:,0.051188454,0.80753046,0.14128116
 An eye for an eye makes both sides blind. This will never end.,0.8367672,0.1503704,0.012862436
The Hindutva gang members in India using Diwali festival crackers video of Delhi to equate and celebrate like that of Israel bombing of Gaza. twitter.com/SudarshanNewsTâ¦,0.59282887,0.3777438,0.029427294
Donât care,0.50339323,0.44446522,0.05214155
Liars.,0.90633726,0.08086019,0.012802507
"Hamas brutally beat Gaza civilians who were tired of getting food from humanitarian aid trucks.  Hamas took the goods for itself.  This is a strong attack on humanity, kindness and charity, which I strongly condemn.

Via- kann_news",0.9573559,0.039729178,0.0029148376
I seriously donât know how anyone can defend these people..,0.95878613,0.03715221,0.0040616123
They don't even care that they are being filmed,0.7362845,0.25090992,0.012805602
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",0.457748,0.46399426,0.07825779
This is textbook terrorism,0.9565898,0.04045094,0.0029592002
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,0.96777946,0.02940617,0.0028142612
So twisted and sickening,0.96383494,0.033050388,0.0031146219
"Serious, how are they not considered a terrorist state and organization at this point?",0.6851528,0.30620244,0.008644706
"Honestly, looks a lot like US policing.",0.6161986,0.36423784,0.019563533
This is Nazi Germany written all over it.,0.92742443,0.0676186,0.004956947
choosen people by shaytan,0.08249264,0.8672798,0.050227586
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",0.42131427,0.5250095,0.053676244
War criminal isrheil!,0.8526858,0.13576022,0.011553958
Zionists,0.5543929,0.42472738,0.02087978
The real terorist,0.21199706,0.7252944,0.06270853
#IsraelTerorrist,0.60637385,0.37358716,0.02003905
Did occupiers give the children two bottle of water for propaganda?,0.6549361,0.33414945,0.010914409
How are the israelis are the âchosen peopleâ again?,0.60819894,0.37578857,0.01601248
"I am glad I could never get used to this. When I was younger I got desensitized with violence, but people can attain humanity if they work for it. We should never let go of our humanity and never forget.",0.5421302,0.36125392,0.09661584
True evil on the loose,0.8546127,0.1372037,0.0081836665
Why canât the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,0.5417955,0.38049406,0.07771042
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",0.71058214,0.25009355,0.03932429
"Hello any Human there.....,,,,,,,,,,,,,,
Savages ,,,,,,,,,,,,,,
I am glad I could never get used to this. When I was younger I got desensitized with violence",0.91878366,0.07217841,0.009037916
Savages,0.3533854,0.5568421,0.08977261
Chosen people ,0.07847599,0.66332114,0.25820285
Butchers,0.2114216,0.62968284,0.15889554
From the river to the sea Palestine will be free! ,0.014552741,0.26202807,0.7234192
"God is Sufficient for us, and He is the Best Trustee, the Best Helper, the Best Master, and the Best to rely upon. Khaybar, Khaybar, O Jews, the army of Muhammad will return, Allah is the Greatest, Allah is the Greatest, Allah is the Greatest.",0.003927034,0.11831063,0.8777624
And people are still asking why Al Aqsa Flood happened.,0.67705435,0.31564218,0.0073034856
Oh my god,0.48607183,0.3679487,0.14597951
Restore the State of Palestine!,0.11398189,0.6606407,0.22537743
Boycott Netflix,0.83756,0.15241449,0.010025533
Former US marineâs pro-Palestine interview resurfaces online,0.37914085,0.5874428,0.03341634
barbarians,0.24484217,0.6559274,0.09923036
If none of you know this is how hamas was created,0.22260393,0.74089915,0.03649698
Is that soldier wearing sneakers?,0.14489627,0.8216856,0.033418074
#IsraelTerrorism,0.76168215,0.22341211,0.014905732
Another proof,0.2086472,0.6411898,0.15016298
Once again we will repeat it never enough without their weapons they are nothing we saw it well in 1942,0.8225446,0.16544577,0.012009655
This is what happens to the Palestinians that are supposedly Free,0.7375277,0.2540418,0.008430473
In front of his children ,0.43947086,0.526658,0.0338711
The IDF is a terrorist organization! That is all,0.95741284,0.039508592,0.0030786095
"The fact that hours before they made palestinians pose with bottle waters and said ""we're not scum"" (which btw they're the ones depriving them of every basic need). At least wait some days or something.",0.6565658,0.31790182,0.025532462
