text_column,tokenized_text
Comments,['comments']
These people are true fascists We need to dismantle this apartheid atrocity,"['people', 'true', 'fascists', 'need', 'dismantle', 'apartheid', 'atrocity']"
They are not soldiers they are EXTREMIST and EVILDOERS ,"['soldiers', 'extremist', 'evildoers']"
All dogs have their eyes on the 500 billion worth of gas and everyone is eager for their share,"['dogs', 'eyes', '500', 'billion', 'worth', 'gas', 'everyone', 'eager', 'share']"
Pray for palestine ,"['pray', 'palestine']"
Palestine must be freed,"['palestine', 'must', 'freed']"
Bullshit Completely fake,"['bullshit', 'completely', 'fake']"
Not Israeli soldiers not wearing standard or specialized issued IDF boots Guess you forgot that little detail while producing the video,"['israeli', 'soldiers', 'wearing', 'standard', 'specialized', 'issued', 'idf', 'boots', 'guess', 'forgot', 'little', 'detail', 'producing', 'video']"
Busted Pallywood Take number 47373  IDF soldiers with sport shoes and AliExpress vest ,"['busted', 'pallywood', 'take', 'number', '47373', 'idf', 'soldiers', 'sport', 'shoes', 'aliexpress', 'vest']"
Free Palestine,"['free', 'palestine']"
"A country that asserts its power is waging war against women children and common citizens the rules of war are being broken every day and the world is silent even as the world watches humanity is collapsing in the world STOP THE GENOCIDE
FreePalestine FreeGazaNow","['country', 'asserts', 'power', 'waging', 'war', 'women', 'children', 'common', 'citizens', 'rules', 'war', 'broken', 'every', 'day', 'world', 'silent', 'even', 'world', 'watches', 'humanity', 'collapsing', 'world', 'stop', 'genocide', 'freepalestine', 'freegazanow']"
Its important for Americans to pay attention to events like this one  not just in Israel and the West Bank but around the world Foreign policy and international affairs can have a big impact on American lives and our economy whether its through trade immigration national…,"['important', 'americans', 'pay', 'attention', 'events', 'like', 'one', 'israel', 'west', 'bank', 'around', 'world', 'foreign', 'policy', 'international', 'affairs', 'big', 'impact', 'american', 'lives', 'economy', 'whether', 'trade', 'immigration']"
IDF Soldiers laughing About Murdering the people of Gaza All the Detergent in the World cant make you Clean,"['idf', 'soldiers', 'laughing', 'murdering', 'people', 'gaza', 'detergent', 'world', 'cant', 'make', 'clean']"
It’s kinda like this video,"['kinda', 'like', 'video']"
 An eye for an eye makes both sides blind This will never end,"['eye', 'eye', 'makes', 'sides', 'blind', 'never', 'end']"
The Hindutva gang members in India using Diwali festival crackers video of Delhi to equate and celebrate like that of Israel bombing of Gaza twittercomSudarshanNewsT…,"['hindutva', 'gang', 'members', 'india', 'using', 'diwali', 'festival', 'crackers', 'video', 'delhi', 'equate', 'celebrate', 'like', 'israel', 'bombing', 'gaza']"
Don’t care,['care']
Liars,['liars']
"Hamas brutally beat Gaza civilians who were tired of getting food from humanitarian aid trucks  Hamas took the goods for itself  This is a strong attack on humanity kindness and charity which I strongly condemn

Via kannnews","['hamas', 'brutally', 'beat', 'gaza', 'civilians', 'tired', 'getting', 'food', 'humanitarian', 'aid', 'trucks', 'hamas', 'took', 'goods', 'strong', 'attack', 'humanity', 'kindness', 'charity', 'strongly', 'condemn', 'via', 'kannnews']"
I seriously don’t know how anyone can defend these people,"['seriously', 'know', 'anyone', 'defend', 'people']"
They dont even care that they are being filmed,"['dont', 'even', 'care', 'filmed']"
They just keep showing their true nature Just like a brother said I need to be more religious as there is no way I am spending eternity in Hell with Israelis May Allah unveil  awaken our hearts minds ears  eyes so we turn to Him Before Dajjals arrival,"['keep', 'showing', 'true', 'nature', 'like', 'brother', 'said', 'need', 'religious', 'way', 'spending', 'eternity', 'hell', 'israelis', 'may', 'allah', 'unveil', 'awaken', 'hearts', 'minds', 'ears', 'eyes', 'turn', 'dajjals', 'arrival']"
This is textbook terrorism,"['textbook', 'terrorism']"
His cries for his mom and dad it’s so horrible This whole country must be dismantled The beginning of the end they’re trying to make their final blow,"['cries', 'mom', 'dad', 'horrible', 'whole', 'country', 'must', 'dismantled', 'beginning', 'end', 'trying', 'make', 'final', 'blow']"
So twisted and sickening,"['twisted', 'sickening']"
Serious how are they not considered a terrorist state and organization at this point,"['serious', 'considered', 'terrorist', 'state', 'organization', 'point']"
Honestly looks a lot like US policing,"['honestly', 'looks', 'lot', 'like', 'us', 'policing']"
This is Nazi Germany written all over it,"['nazi', 'germany', 'written']"
choosen people by shaytan,"['choosen', 'people', 'shaytan']"
If we had iPhones  body cams in occupied Europe of the 1940s I wonder how similar these scenes would be when the Gestapo came for Anne Franks family is this what it looked like,"['iphones', 'body', 'cams', 'occupied', 'europe', '1940s', 'wonder', 'similar', 'scenes', 'would', 'gestapo', 'came', 'anne', 'franks', 'family', 'looked', 'like']"
War criminal isrheil,"['war', 'criminal', 'isrheil']"
Zionists,['zionists']
The real terorist,"['real', 'terorist']"
IsraelTerorrist,['israelterorrist']
Did occupiers give the children two bottle of water for propaganda,"['occupiers', 'give', 'children', 'two', 'bottle', 'water', 'propaganda']"
How are the israelis are the ‘chosen people’ again,"['israelis', 'chosen', 'people']"
I am glad I could never get used to this When I was younger I got desensitized with violence but people can attain humanity if they work for it We should never let go of our humanity and never forget,"['glad', 'could', 'never', 'get', 'used', 'younger', 'got', 'desensitized', 'violence', 'people', 'attain', 'humanity', 'work', 'never', 'let', 'go', 'humanity', 'never', 'forget']"
True evil on the loose,"['true', 'evil', 'loose']"
Why can’t the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friendI am watching too much hollywood movie and expect can happen like in the movie  haha,"['palestinians', 'seeing', 'incident', 'grab', 'whatever', 'rushed', 'rescue', 'fellow', 'friendi', 'watching', 'much', 'hollywood', 'movie', 'expect', 'happen', 'like', 'movie', 'haha']"
Lol they didnt even bother faking a Hebrew accent  this is as real as your entire fake narrative,"['lol', 'didnt', 'even', 'bother', 'faking', 'hebrew', 'accent', 'real', 'entire', 'fake', 'narrative']"
"Hello any Human there
Savages 
I am glad I could never get used to this When I was younger I got desensitized with violence","['hello', 'human', 'savages', 'glad', 'could', 'never', 'get', 'used', 'younger', 'got', 'desensitized', 'violence']"
Savages,['savages']
Chosen people ,"['chosen', 'people']"
Butchers,['butchers']
From the river to the sea Palestine will be free ,"['river', 'sea', 'palestine', 'free']"
God is Sufficient for us and He is the Best Trustee the Best Helper the Best Master and the Best to rely upon Khaybar Khaybar O Jews the army of Muhammad will return Allah is the Greatest Allah is the Greatest Allah is the Greatest,"['god', 'sufficient', 'us', 'best', 'trustee', 'best', 'helper', 'best', 'master', 'best', 'rely', 'upon', 'khaybar', 'khaybar', 'jews', 'army', 'muhammad', 'return', 'allah', 'greatest', 'allah', 'greatest', 'allah', 'greatest']"
And people are still asking why Al Aqsa Flood happened,"['people', 'still', 'asking', 'al', 'aqsa', 'flood', 'happened']"
Oh my god,"['oh', 'god']"
Restore the State of Palestine,"['restore', 'state', 'palestine']"
Boycott Netflix,"['boycott', 'netflix']"
Former US marine’s proPalestine interview resurfaces online,"['former', 'us', 'marine', 'propalestine', 'interview', 'resurfaces', 'online']"
barbarians,['barbarians']
If none of you know this is how hamas was created,"['none', 'know', 'hamas', 'created']"
Is that soldier wearing sneakers,"['soldier', 'wearing', 'sneakers']"
IsraelTerrorism,['israelterrorism']
Another proof,"['another', 'proof']"
Once again we will repeat it never enough without their weapons they are nothing we saw it well in 1942,"['repeat', 'never', 'enough', 'without', 'weapons', 'nothing', 'saw', 'well', '1942']"
This is what happens to the Palestinians that are supposedly Free,"['happens', 'palestinians', 'supposedly', 'free']"
In front of his children ,"['front', 'children']"
The IDF is a terrorist organization That is all,"['idf', 'terrorist', 'organization']"
The fact that hours before they made palestinians pose with bottle waters and said were not scum which btw theyre the ones depriving them of every basic need At least wait some days or something,"['fact', 'hours', 'made', 'palestinians', 'pose', 'bottle', 'waters', 'said', 'scum', 'btw', 'theyre', 'ones', 'depriving', 'every', 'basic', 'need', 'least', 'wait', 'days', 'something']"
US standards of civilization,"['us', 'standards', 'civilization']"
This is why the Palestinians in the West Bank must be armed Instead of arming the people the socalled “Palestinian” Authority does israel’s work for them,"['palestinians', 'west', 'bank', 'must', 'armed', 'instead', 'arming', 'people', 'socalled', 'palestinian', 'authority', 'israel', 'work']"
I hate Israel the Nazi regime,"['hate', 'israel', 'nazi', 'regime']"
Terrorists have often had young children participate in using explosives and weapons  They are trained in Hamas summer camps to do just that  Its a sad reality,"['terrorists', 'often', 'young', 'children', 'participate', 'using', 'explosives', 'weapons', 'trained', 'hamas', 'summer', 'camps', 'sad', 'reality']"
